COURSE,CLIENT,URL,Extension,ID,REDIRECT URL,ADOBE URL OR RECORDING LINK
Everest Virtual User Conference - Q2 2013,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2032,rpw.adobeconnect.com/,everest-q2-2013
Everest: Ask the Expert!,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2242,rpw.adobeconnect.com/,everest2013q3
"Everest Virtual User Conference - October 1, 2013",Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2242,rpw.adobeconnect.com/,everest-q3-2013
Everest: Important Customer Briefing,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2742,rpw.adobeconnect.com/,everest2014q1
Everest Virtual User Conference - Q1 2014,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2742,rpw.adobeconnect.com/,everest-q1-2014
Everest Virtual User Conference Q2 2014,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2790,rpw.adobeconnect.com/,everest-q2-2014
Everest 3.0: The Future is Now,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2790,rpw.adobeconnect.com/,everestq22014
Everest Virtual User Conference Q3 2014,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2803,rpw.adobeconnect.com/,everest-q3-2014
Everest 3.0 in Action,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2803,rpw.adobeconnect.com/,p53awieqzgm
Everest Q4 2014 VUC,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2828,rpw.adobeconnect.com/,everestq42014
Everest Virtual User Conference February 2015,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2836,rpw.adobeconnect.com/,everest-q1-2015
Everest 3.0 Roars into 2015,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2836,rpw.adobeconnect.com/,everestq12015
Everest VUC - May 2015,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2853,rpw.adobeconnect.com/,everest-q2-2015/
Everest 3.0: The Growth Phase,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2853,rpw.adobeconnect.com/,everest51915/
Everest Virtual User Conference - Q3 2015,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2873,rpw.adobeconnect.com/,everest-q3-2015
Everest 3.0: The Growth Phase,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2873,rpw.adobeconnect.com/,everest093015/
Everest 3.0 l The Growth Phase,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2899,rpw.adobeconnect.com/,everest-q1-2016
Everest Q1 2016,Everest,everest.rallypointwebinars.com,/course/webinar.php?id=,2899,rpw.adobeconnect.com/,everest01192016
Gensym Virtual User Conference - Q3 2011,Gensym,gensym.rallypointwebinars.com,/course/webinar.php?id=,177,rpw.adobeconnect.com/,gensym-q3-2011r
